iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
BWA,Africa,Botswana,30/01/2021,21293,240,216.429,135,4,3.571,8095.274,91.244,82.283,51.325,1.521,1.358,1.32,,,,,,,,,,,,,5515,2.131,0.0425,23.6,tests performed,,,,,,,,,,,,,,53.7,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300,,,,
BRA,South America,Brazil,30/01/2021,9058687,61811,51617,221547,1386,1057.143,42072.08,287.074,239.73,1028.951,6.437,4.91,1.01,,,,,,,,,33028536,147881,154.104,0.69,334136,1.559,,,tests performed,2046523,2046523,,,122710,210465,0.95,0.95,,,977,210465,0.098,69.91,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,215313504,,,,
VGB,North America,British Virgin Islands,30/01/2021,141,4,2.857,1,0,0,4500.191,127.665,91.189,31.916,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.973,,,,,,,13.67,,,,,79.07,,31332,,,,
BRN,Asia,Brunei,30/01/2021,180,0,0.714,3,0,0,400.889,0,1.591,6.681,0,0,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,449002,,,,
BGR,Europe,Bulgaria,30/01/2021,218269,695,548.429,9008,35,29.857,32183.788,102.478,80.866,1328.231,5.161,4.402,1.12,,,,,,,,,1385067,13582,201.146,1.972,10576,1.536,0.053,18.9,tests performed,41020,27957,13063,,215,2129,0.6,0.41,0.19,,314,921,0.014,53.7,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,6781955,,,,
BFA,Africa,Burkina Faso,30/01/2021,10580,157,87.571,120,0,1.571,466.619,6.924,3.862,5.292,0,0.069,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,22673764,,,,
BDI,Africa,Burundi,30/01/2021,1632,19,27.714,2,0,0,126.614,1.474,2.15,0.155,0,0,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,12889583,,,,
KHM,Asia,Cambodia,30/01/2021,464,1,1.143,,0,0,27.672,0.06,0.068,,0,0,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.56,90.672,25.6,4.412,2.385,3645.07,,270.892,4,2,33.7,66.229,0.8,69.82,0.594,16767851,,,,
CMR,Africa,Cameroon,30/01/2021,30313,0,329,474,0,2.714,1085.921,0,11.786,16.98,0,0.097,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,27914542,,,,
CAN,North America,Canada,30/01/2021,766103,4877,4950.429,19527,128,148,19922.413,126.826,128.735,507.797,3.329,3.849,0.83,806,20.96,3702,96.27,,,,,21471772,136926,562.751,3.589,111906,2.933,0.0398,25.2,tests performed,968205,857000,111205,,15175,21859,2.52,2.23,0.29,,568,13771,0.036,75.46,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,38454328,,,,
CPV,Africa,Cape Verde,30/01/2021,13897,113,73.714,131,0,1.286,23428.675,190.504,124.273,220.85,0,2.168,0.97,,,,,,,,,,586,,0.997,,,,,tests performed,,,,,,,,,,,,,,59.26,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162,,,,
CYM,North America,Cayman Islands,30/01/2021,387,2,0.714,2,0,0,5631.384,29.103,10.394,29.103,0,0,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,4002,195,0.284,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68722,,,,
CAF,Africa,Central African Republic,30/01/2021,5864,0,0.429,63,0,0,1051.057,0,0.077,11.292,0,0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1,53.28,0.397,5579148,,,,
TCD,Africa,Chad,30/01/2021,3321,25,31,119,0,0.429,187.38,1.411,1.749,6.714,0,0.024,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,17723312,,,,
CHL,South America,Chile,30/01/2021,718749,4606,4097.571,18257,83,67.286,36663.879,234.955,209.02,931.302,4.234,3.432,0.97,1410,71.925,,,731,37.289,2558,130.485,7960705,63308,408.384,3.248,54617,2.802,0.0739,13.5,tests performed,67450,57037,10413,,1,229,0.34,0.29,0.05,,12,5,0,79.17,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,19603736,,,,
CHN,Asia,China,30/01/2021,100747,106,140,4821,1,1.571,70.656,0.074,0.098,3.381,0.001,0.001,0.61,,,,,,,,,,,,,14769984,10.358,0,148123.5,tests performed,,,,,,695700,,,,,488,,,78.24,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,1425887360,,,,
COL,South America,Colombia,30/01/2021,2067575,12270,13604.286,52913,390,389.429,39857.614,236.535,262.256,1020.029,7.518,7.507,0.77,,,,,,,,,10000753,65561,194.127,1.273,65754,1.276,0.186,5.4,tests performed,,,,,,,,,,,,,,81.02,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028,,,,
COM,Africa,Comoros,30/01/2021,2576,48,69.429,89,4,3.714,3078.456,57.363,82.971,106.36,4.78,4.439,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,836783,,,,
COG,Africa,Congo,30/01/2021,8060,0,24.714,122,0,0.714,1349.987,0,4.139,20.434,0,0.12,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430,,,,
COK,Oceania,Cook Islands,30/01/2021,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.25,,17032,,,,
CRI,North America,Costa Rica,30/01/2021,192637,571,594.286,2599,15,13.286,37182.609,110.214,114.708,501.656,2.895,2.564,0.91,,,,,,,,,498891,3459,96.798,0.671,2160,0.419,0.194,5.2,people tested,,,,,,1742,,,,,336,687,0.013,66.67,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,5180836,,,,
CIV,Africa,Cote d'Ivoire,30/01/2021,27934,239,231.286,153,1,1.286,991.955,8.487,8.213,5.433,0.036,0.046,1.09,,,,,,,,,339365,5774,12.35,0.21,3533,0.129,0.0633,15.8,tests performed,,,,,,,,,,,,,,17.59,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,28160548,,,,
HRV,Europe,Croatia,30/01/2021,231539,561,510,4972,29,28.857,57448.7,139.193,126.54,1233.636,7.195,7.16,0.84,,,1249,309.898,,,,,1186046,5195,292.12,1.28,5194,1.279,0.0969,10.3,people tested,,,,,,2097,,,,,520,256,0.006,47.22,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,4030361,,,,
CUB,North America,Cuba,30/01/2021,24764,659,672,210,2,3.143,2208.666,58.775,59.935,18.73,0.178,0.28,1.34,,,,,,,,,1886523,18044,167.596,1.603,15470,1.374,0.0466,21.5,tests performed,,,,,,,,,,,,,,78.7,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,11212198,,,,
CUW,North America,Curacao,30/01/2021,4574,7,5.286,20,0,0,23925.973,36.616,27.649,104.617,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173,,,,
CYP,Europe,Cyprus,30/01/2021,31115,119,128.429,200,0,2.571,34726.291,132.811,143.334,223.213,0,2.87,0.79,35,39.062,140,156.249,,,,,1379093,22674,1539.154,25.306,14130,15.77,0.0091,110,tests performed,25519,19618,5551,,,1111,2.85,2.19,0.62,,1240,614,0.069,84.26,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007,,,,
CZE,Europe,Czechia,30/01/2021,989547,8150,6874,16629,152,145.571,94296.545,776.635,655.042,1584.621,14.484,13.872,0.97,1022,97.389,5515,525.539,447,42.596,4455,424.529,5781945,31202,550.098,2.969,51339,4.884,0.132,7.6,tests performed,279260,240269,38991,,1827,10420,2.66,2.29,0.37,,993,6498,0.062,81.48,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,10493990,,,,
COD,Africa,Democratic Republic of Congo,30/01/2021,22603,149,127.143,671,6,2.571,228.29,1.505,1.284,6.777,0.061,0.026,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,99010216,,,,
DNK,Europe,Denmark,30/01/2021,197664,701,660.857,2084,13,20.429,33603.417,119.172,112.348,354.286,2.21,3.473,0.71,102,17.34,541,91.971,,,371,63.071,13358170,83169,2281.794,14.207,112666,19.245,0.0053,188.8,tests performed,216941,154346,62595,,11395,6937,3.69,2.62,1.06,,1179,485,0.008,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,5882259,,,,
DJI,Africa,Djibouti,30/01/2021,5930,1,1.857,62,0,0.143,5290.623,0.892,1.657,55.315,0,0.127,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,1120851,,,,
DMA,North America,Dominica,30/01/2021,117,0,0.571,,0,0,1608.071,0,7.854,,0,0,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.63,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75,0.742,72758,,,,
DOM,North America,Dominican Republic,30/01/2021,210412,1802,1323.857,2626,23,18.571,18738.566,160.48,117.898,233.862,2.048,1.654,0.97,,,,,,,,,1051813,6952,94.606,0.625,6905,0.621,0.2078,4.8,samples tested,,,,,,,,,,,,,,70.37,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,11228821,,,,
ECU,South America,Ecuador,30/01/2021,246687,687,1361.286,14802,36,34.286,13704.07,38.165,75.623,822.288,2,1.905,1.07,,,,,,,,,836154,3570,46.981,0.201,5117,0.288,0.266,3.8,people tested,,,,,,466,,,,,26,466,0.003,69.44,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01,0.759,18001002,,,,
EGY,Africa,Egypt,30/01/2021,164871,589,629.714,9217,48,52,1485.457,5.307,5.674,83.043,0.432,0.469,0.82,,,,,,,,,,,,,,,,,,1315,1315,,,,219,0,0,,,2,219,0,48.15,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,110990096,,,,
SLV,North America,El Salvador,30/01/2021,53989,0,188.143,1604,5,9.143,8520.463,0,29.692,253.141,0.789,1.443,0.96,,,,,,,,,692297,2488,109.642,0.394,2460,0.39,0.101,9.9,tests performed,,,,,,,,,,,,,,46.3,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,6336393,,,,
OWID_ENG,Europe,England,30/01/2021,,,,,,,,,,,,,,3486,61.645,28571,505.234,,,18304,323.678,,,,,,,,,,8251146,7792996,458150,,549943,325853,14.59,13.78,0.81,,5762,323414,0.572,,,,,,,,,,,,,,,,56550000,,,,
GNQ,Africa,Equatorial Guinea,30/01/2021,5516,0,16.429,86,0,0,3293.299,0,9.809,51.346,0,0,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,1674916,,,,
ERI,Africa,Eritrea,30/01/2021,2135,50,27.857,7,0,0.143,579.527,13.572,7.562,1.9,0,0.039,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,3684041,,,,
EST,Europe,Estonia,30/01/2021,43799,401,509.571,411,2,6.143,33029.326,302.399,384.274,309.94,1.508,4.632,1.04,,,445,335.58,,,,,782842,3770,589.178,2.837,4943,3.72,0.103,9.7,tests performed,37993,27793,11114,284,831,1751,2.87,2.1,0.84,0.02,1320,639,0.048,39.79,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,1326064,,,,
SWZ,Africa,Eswatini,30/01/2021,15471,188,178.857,551,13,13.286,12874.476,156.448,148.839,458.525,10.818,11.056,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.44,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,1201680,,,,
ETH,Africa,Ethiopia,30/01/2021,136365,771,497.714,2087,2,3.857,1105.245,6.249,4.034,16.915,0.016,0.031,1.27,,,,,,,,,1955443,6099,16.257,0.051,5975,0.05,0.089,11.2,tests performed,,,,,,,,,,,,,,51.85,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,123379928,,,,
OWID_EUR,,Europe,30/01/2021,30093230,171961,180667,724533,5705,5230.143,40404.021,230.88,242.569,972.778,7.66,7.022,,,,,,,,,,,,,,,,,,,24422441,21535652,2819095,1404,1174333,1101575,3.28,2.89,0.38,0,1479,809766,0.109,,,,,,,,,,,,,,,,744807803,,,,
OWID_EUN,,European Union,30/01/2021,19364851,114774,123857.857,490993,3805,3293.143,43018.969,254.97,275.15,1090.74,8.453,7.316,,,,,,,,,,,,,,,,,,,13014026,10668330,2283677,1346,461397,568020,2.89,2.37,0.51,0,1262,307572,0.068,,,,,,,,,,,,,,,,450146793,,,,
FRO,Europe,Faeroe Islands,30/01/2021,657,0,0.286,1,0,0,12368.921,0,5.379,18.826,0,0,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,1563,7,0.013,27.78,35.308,,,,,,,,,,,,80.67,,53117,,,,
FLK,South America,Falkland Islands,30/01/2021,38,0,0.571,,0,0,9997.369,0,150.336,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801,,,,
FJI,Oceania,Fiji,30/01/2021,55,0,0,2,0,0,59.154,0,0,2.151,0,0,,,,,,,,,,26118,,28.248,,158,0.171,,,tests performed,,,,,,,,,,,,,,49.07,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,929769,,,,
FIN,Europe,Finland,30/01/2021,45172,435,370.714,698,1,2.143,8152.694,78.509,66.907,125.976,0.18,0.387,1.11,,,,,,,,,2866629,12391,517.817,2.238,14936,2.698,0.026,38.5,tests performed,,,,,,8107,,,,,1463,6204,0.112,52.31,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745,,,,
FRA,Europe,France,30/01/2021,3084760,2957,18987.714,75224,819,424.143,47732.031,45.755,293.806,1163.978,12.673,6.563,1.04,3103,45.758,27242,401.722,1870,27.576,11355,167.446,44311889,216782,657.232,3.215,312563,4.636,0.061,16.4,people tested,1728351,1675000,53350,1,33663,84695,2.55,2.47,0.08,0,1249,77341,0.114,63.89,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,67813000,,,,
GUF,South America,French Guiana,30/01/2021,16028,96,66.857,76,0,0,52625.358,315.201,219.515,249.534,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,,2.897,,,,,,,,,79.95,,304568,,,,
PYF,Oceania,French Polynesia,30/01/2021,18060,27,29.714,131,0,0.429,58963.342,88.151,97.013,427.696,0,1.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,
GAB,Africa,Gabon,30/01/2021,10748,212,67.143,68,0,0.143,4498.959,88.74,28.105,28.464,0,0.06,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,2388997,,,,
GMB,Africa,Gambia,30/01/2021,4090,0,16.857,128,0,0,1511.459,0,6.23,47.302,0,0,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.37,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,2705995,,,,
GEO,Asia,Georgia,30/01/2021,257632,676,665.714,3159,11,17.286,68804.891,180.537,177.79,843.663,2.938,4.616,0.8,,,,,,,,,756419,19989,201.283,5.319,15803,4.205,0.0421,23.7,tests performed,,,,,,,,,,,,,,83.33,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,3744385,,,,
DEU,Europe,Germany,30/01/2021,2207126,12568,11515.429,70291,480,466.286,26473.914,150.75,138.125,843.123,5.757,5.593,0.82,4351,52.189,,,,,7928,95.094,,,,,164282,1.97,,,tests performed,2489963,1919500,570463,,88197,90899,2.99,2.3,0.68,,1090,44585,0.053,83.33,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,
GHA,Africa,Ghana,30/01/2021,67010,794,696.429,416,5,6.286,2001.74,23.719,20.804,12.427,0.149,0.188,1.2,,,,,,,,,783432,5148,23.861,0.157,4849,0.148,0.1565,6.4,tests performed,,,,,,,,,,,,,,38.89,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,33475870,,,,
GIB,Europe,Gibraltar,30/01/2021,4074,25,28.714,70,0,1.571,124674.848,765.064,878.731,2142.18,0,48.09,,,,,,,,,,,,,,,,,,,12866,12866,,,0,437,39.37,39.37,,,13373,437,1.337,,3457.1,,,,,,,,,,,,79.93,,32677,,,,
GRC,Europe,Greece,30/01/2021,155678,882,662.429,5764,22,23.714,14990.7,84.93,63.787,555.033,2.118,2.284,1.19,,,,,,,,,4168158,31904,399.044,3.054,29504,2.825,0.0234,42.8,samples tested,271287,232399,38888,,17924,15884,2.61,2.24,0.37,,1530,10776,0.104,80.56,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,,4.21,82.24,0.888,10384972,,,,
GRL,North America,Greenland,30/01/2021,30,0,0,,0,0,531.03,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,1363,41,0.073,37.04,0.137,,,,,,199.941,2.16,,,,,71.7,,56494,,,,
GRD,North America,Grenada,30/01/2021,148,0,0.143,1,0,0,1179.668,0,1.139,7.971,0,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459,,,,
GLP,North America,Guadeloupe,30/01/2021,9056,0,0,157,0,0,22882.439,0,0,396.703,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,,,,,,,,,,,82.14,,395762,,,,
GUM,Oceania,Guam,30/01/2021,7372,7,4.571,129,0,0.143,42914.607,40.749,26.612,750.947,0,0.832,,,,,,,,,,84269,65,494.148,0.381,98,0.575,0.066,15.2,tests performed,,,,,,,,,,,,,,,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,,171783,,,,
GTM,North America,Guatemala,30/01/2021,158336,741,768.571,5582,39,23.143,8873.39,41.527,43.072,312.824,2.186,1.297,0.98,,,,,,,,,756253,5232,42.948,0.297,6393,0.363,0.1168,8.6,people tested,,,,,,,,,,,,,,52.78,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,17843914,,,,
GGY,Europe,Guernsey,30/01/2021,449,35,19.857,16,0,0,7089.959,552.669,313.555,252.649,0,0,,,,,,,,,,,,,,,,,,,,,,,,604,,,,,9537,421,0.665,,,,,,,,,,,,,,,,63329,,,,
GIN,Africa,Guinea,30/01/2021,14475,24,25,82,0,0.143,1044.421,1.732,1.804,5.917,0,0.01,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.69,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,13859349,,,,
GNB,Africa,Guinea-Bissau,30/01/2021,2623,9,13.143,45,0,0,1245.738,4.274,6.242,21.372,0,0,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,2105580,,,,
GUY,South America,Guyana,30/01/2021,7470,90,57.571,175,1,0.714,9236.739,111.286,71.188,216.389,1.237,0.883,1.07,,,,,,,,,,,,,955,1.187,0.0537,18.6,tests performed,,,,,,,,,,,,,,54.63,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,808727,,,,
HTI,North America,Haiti,30/01/2021,11590,188,79.286,245,1,0.286,1000.431,16.228,6.844,21.148,0.086,0.025,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,11585003,,,,
OWID_HIC,,High income,30/01/2021,53719660,326434,335450.714,1117614,9202,8134.571,42958.043,261.04,268.25,893.723,7.359,6.505,,,,,,,,,,,,,,,,,,,70363043,54811915,12289681,1404,2337445,2778134,5.63,4.38,0.98,0,2222,1856651,0.148,,,,,,,,,,,,,,,,1250514600,,,,
HND,North America,Honduras,30/01/2021,144992,985,992.571,3549,37,18.143,13897.63,94.413,95.139,340.175,3.546,1.739,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,,84.169,0.7,75.27,0.634,10432858,,,,
HKG,Asia,Hong Kong,30/01/2021,,,,,,,,,,,,,,,,,,,,,,,,,,42005,5.605,,,tests performed,,,,,,,,,,,,,,71.3,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,7488863,,,,
HUN,Europe,Hungary,30/01/2021,366279,1370,1137.429,12463,89,79.857,36748.051,137.449,114.116,1250.388,8.929,8.012,0.98,,,,,,,,,2687310,21362,276.763,2.2,14646,1.508,0.0777,12.9,tests performed,278830,222005,56825,,30941,17920,2.8,2.23,0.57,,1798,10964,0.11,72.22,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,9967304,,,,
ISL,Europe,Iceland,30/01/2021,6014,2,3.143,31,0,0,16127.518,5.363,8.428,83.132,0,0,0.7,,,,,,,,,262961,327,710.063,0.883,860,2.322,,,tests performed,,,,,,646,,,,,1732,393,0.105,44.44,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,372903,,,,
IND,Asia,India,30/01/2021,10733131,13083,13349.571,154147,137,137.571,7573.62,9.232,9.42,108.771,0.097,0.097,0.91,,,,,,,,,195837408,756329,139.132,0.537,693184,0.492,0.0189,52.9,samples tested,3744334,3744334,,,244307,308876,0.26,0.26,,,218,308876,0.022,61.57,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,1417173120,,,,
IDN,Asia,Indonesia,30/01/2021,1066313,14518,12691.286,29728,210,294.857,3870.446,52.697,46.066,107.905,0.762,1.07,1.04,,,,,,,,,,,,,,,,,,502955,482145,20810,,86656,51762,0.18,0.18,0.01,,188,48789,0.018,68.06,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,275501344,,,,
IRN,Asia,Iran,30/01/2021,1405414,6573,6369.857,57807,71,83.143,15871.315,74.229,71.935,652.813,0.802,0.939,1.03,,,,,,,,,,,,,54515,0.62,0.1171,8.5,tests performed,,,,,,,,,,,,,,80.09,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,88550568,,,,
IRQ,Asia,Iraq,30/01/2021,618147,945,865,13036,12,7.429,13892.154,21.238,19.44,292.969,0.27,0.167,1.16,,,,,,,,,5586638,27821,128.329,0.639,39160,0.9,0.0221,45.3,tests performed,,,,,,,,,,,,,,44.44,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124,,,,
IRL,Europe,Ireland,30/01/2021,193723,1463,1531.857,3492,74,65.429,38566.362,291.254,304.962,695.187,14.732,13.026,0.65,,,,,,,,,3062946,21598,614.244,4.331,19836,3.978,0.07,14.3,tests performed,203547,157228,46326,,8451,7405,4.05,3.13,0.92,,1474,1294,0.026,87.96,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955,5023108,,,,
IMN,Europe,Isle of Man,30/01/2021,434,2,0.286,35,0,0,5134.029,23.659,3.38,414.035,0,0,,,,,,,,,,,,,,,,,,,,,,,,484,,,,,5726,439,0.519,,147.872,,,,,,,,,,,,81.4,,84534,,,,
ISR,Asia,Israel,30/01/2021,637814,6775,6519.429,4727,45,56.429,67500.688,717.007,689.96,500.265,4.762,5.972,0.97,388,41.063,2039,215.79,174,18.415,1637,173.246,10543753,26052,1134.835,2.804,68610,7.385,0.095,10.5,people tested,4832787,3038322,1794465,,77162,175347,51.15,32.15,18.99,,18557,65354,0.692,85.19,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,9449000,,,,
